,actual,country,date,forecast,forecast_error,impact,new,previous,previous_error,time
0,54.9,CNY,"Sunday, September 30, 2018",54.0,u,Medium,CNY Non-manufacturing PMI (SEP),54.2,-,01:00
1,50.8,CNY,"Sunday, September 30, 2018",51.2,d,High,CNY Manufacturing PMI (SEP),51.3,-,01:00
2,54.1,CNY,"Sunday, September 30, 2018",,-,Medium,CNY Composite PMI (SEP),53.8,-,01:00
3,50.0,CNY,"Sunday, September 30, 2018",50.5,d,Medium,CNY Caixin China PMI Mfg (SEP),50.6,-,01:45
4,59.0,AUD,"Sunday, September 30, 2018",,-,Medium,AUD AiG Performance of Manufacturing Index (SEP),56.7,-,22:30
5,19,JPY,"Sunday, September 30, 2018",22,d,Medium,JPY Tankan Large Manufacturing Index (3Q),21,-,23:50
6,19,JPY,"Sunday, September 30, 2018",20,d,Medium,JPY Tankan Large Manufacturers Outlook (3Q),21,-,23:50
7,22,JPY,"Sunday, September 30, 2018",23,d,Medium,JPY Tankan Large Non-Manufacturing Index (3Q),24,-,23:50
8,22,JPY,"Sunday, September 30, 2018",21,u,Low,JPY Tankan Non-Manufacturing Outlook (3Q),21,-,23:50
9,13.4%,JPY,"Sunday, September 30, 2018",13.9%,d,Medium,JPY Tankan Large All Industry Capex (3Q),13.6%,-,23:50
10,14,JPY,"Sunday, September 30, 2018",13,u,Low,JPY Tankan Small Manufacturing Index (3Q),14,-,23:50
11,11,JPY,"Sunday, September 30, 2018",12,d,Low,JPY Tankan Small Manufacturing Outlook (3Q),12,-,23:50
12,10,JPY,"Sunday, September 30, 2018",6,u,Low,JPY Tankan Small Non-Manufacturing Index (3Q),8,-,23:50
13,5,JPY,"Sunday, September 30, 2018",4,u,Medium,JPY Tankan Small Non-Manufacturing Outlook (3Q),5,-,23:50
14,52.5,JPY,"Monday, October 1, 2018",,-,Low,JPY Nikkei Japan PMI Manufacturing (SEP F),52.9,-,00:30
15,0.3%,AUD,"Monday, October 1, 2018",,-,Low,AUD TD Securities Inflation (MoM) (SEP),0.1%,-,01:00
16,2.1%,AUD,"Monday, October 1, 2018",,-,Medium,AUD TD Securities Inflation (YoY) (SEP),2.1%,-,01:00
17,-3.1%,JPY,"Monday, October 1, 2018",,-,Low,JPY Vehicle Sales (YoY) (SEP),-0.2%,-,05:00
18,-0.1%,EUR,"Monday, October 1, 2018",0.5%,-,Low,EUR German Retail Sales (MoM) (AUG),-0.4%,-,06:00
19,1.6%,EUR,"Monday, October 1, 2018",1.6%,-,Medium,EUR German Retail Sales (YoY) (AUG),0.8%,-,06:00
20,0.3%,CHF,"Monday, October 1, 2018",1.7%,-,Medium,CHF Retail Sales Real (YoY) (AUG),-0.3%,-,07:15
21,59.7,CHF,"Monday, October 1, 2018",62.1,d,Medium,CHF PMI Manufacturing (SEP),64.8,-,07:30
22,50.0,EUR,"Monday, October 1, 2018",50.2,d,Low,EUR Markit/ADACI Italy Manufacturing PMI (SEP),50.1,-,07:45
23,52.5,EUR,"Monday, October 1, 2018",52.5,-,Low,EUR Markit France Manufacturing PMI (SEP F),52.5,-,07:50
24,53.7,EUR,"Monday, October 1, 2018",53.7,-,Low,EUR Markit/BME Germany Manufacturing PMI (SEP F),53.7,-,07:55
25,53.2,EUR,"Monday, October 1, 2018",53.3,d,Low,EUR Markit Eurozone Manufacturing PMI (SEP F),53.3,-,08:00
26,577.914b,CHF,"Monday, October 1, 2018",,-,Low,CHF Total Sight Deposits CHF (SEP 28),577.6b,-,08:00
27,474.784b,CHF,"Monday, October 1, 2018",,-,Low,CHF Domestic Sight Deposits CHF (SEP 28),470.8b,-,08:00
28,1.118b,GBP,"Monday, October 1, 2018",1.3b,u,Medium,GBP Net Consumer Credit (AUG),0.83b,-,08:30
29,2.6b,GBP,"Monday, October 1, 2018",3.5b,d,Medium,GBP Net Lending Sec. on Dwellings (AUG),2.97b,d,08:30
30,66.44k,GBP,"Monday, October 1, 2018",64.5k,u,Medium,GBP Mortgage Approvals (AUG),65.156k,u,08:30
31,0.2%,GBP,"Monday, October 1, 2018",,-,Low,GBP Money Supply M4 (MoM) (AUG),0.9%,-,08:30
32,1.2%,GBP,"Monday, October 1, 2018",,-,Low,GBP M4 Money Supply (YoY) (AUG),2.1%,-,08:30
33,0.9%,GBP,"Monday, October 1, 2018",,-,Low,GBP M4 Ex IOFCs 3M Annualised (AUG),3.5%,-,08:30
34,53.8,GBP,"Monday, October 1, 2018",52.5,u,Medium,GBP Markit UK PMI Manufacturing s.a. (SEP),53.0,u,08:30
35,8.1%,EUR,"Monday, October 1, 2018",8.1%,-,Medium,EUR Euro-Zone Unemployment Rate (AUG),8.2%,-,09:00
36,0.1%,CAD,"Monday, October 1, 2018",,-,Low,CAD MLI Leading Indicator (MoM) (AUG),0.0%,d,12:30
37,,USD,"Monday, October 1, 2018",,-,Low,USD Fed's Bostic Speaks on Economic Development,,-,13:02
38,54.8,CAD,"Monday, October 1, 2018",,-,High,CAD RBC Canadian Manufacturing PMI (SEP),56.8,-,13:30
39,55.6,USD,"Monday, October 1, 2018",55.6,-,Low,USD Markit US Manufacturing PMI (SEP F),55.6,-,13:45
40,0.1%,USD,"Monday, October 1, 2018",0.4%,d,Medium,USD Construction Spending (MoM) (AUG),0.2%,u,14:00
41,59.8,USD,"Monday, October 1, 2018",60,d,High,USD ISM Manufacturing (SEP),61.3,-,14:00
42,58.8,USD,"Monday, October 1, 2018",,-,High,USD ISM Employment (SEP),58.5,-,14:00
43,66.9,USD,"Monday, October 1, 2018",71.4,d,Medium,USD ISM Prices Paid (SEP),72.1,-,14:00
44,61.8,USD,"Monday, October 1, 2018",,-,Low,USD ISM New Orders (SEP),65.1,-,14:00
45,51.7,MXN,"Monday, October 1, 2018",,-,Medium,MXN Markit Mexico PMI Mfg (SEP),50.7,-,14:30
46,,GBP,"Monday, October 1, 2018",,-,Low,GBP BOE's Tenreyro Chairs Panel in London,,-,14:50
47,,USD,"Monday, October 1, 2018",,-,Low,"USD Fed's Kashkari Speaks in Minnetonka, Minnesota",,-,15:00
48,,USD,"Monday, October 1, 2018",,-,Low,USD U.S. to Sell 3-Month Bills,,-,15:30
49,,USD,"Monday, October 1, 2018",,-,Low,USD U.S. to Sell 6-Month Bills,,-,15:30
50,,USD,"Monday, October 1, 2018",,-,Low,USD Fed's Rosengren Speaks on the U.S. Outlook and Monetary Policy,,-,16:15
51,54,AUD,"Monday, October 1, 2018",,-,Low,AUD CBA Australia PMI Mfg (SEP),53.2,-,23:00
52,188.1,AUD,"Monday, October 1, 2018",,-,Low,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (SEP 30),117.2,-,23:30
53,¥505.0t,JPY,"Monday, October 1, 2018",,-,Medium,JPY Monetary Base End of period (SEP),¥502.0t,-,23:50
54,5.9%,JPY,"Monday, October 1, 2018",,-,Medium,JPY Monetary Base (YoY) (SEP),6.9%,-,23:50
55,3.35%,JPY,"Tuesday, October 2, 2018",,-,Medium,JPY Loans & Discounts Corp (YoY) (AUG),3.18%,-,00:00
56,1.50%,AUD,"Tuesday, October 2, 2018",1.50%,-,High,AUD RBA Cash Rate Target (OCT 2),1.50%,-,04:30
57,43.4,JPY,"Tuesday, October 2, 2018",43.1,u,Medium,JPY Consumer Confidence Index (SEP),43.3,-,05:00
58,0.3%,GBP,"Tuesday, October 2, 2018",0.2%,u,Low,GBP Nationwide House Px (MoM) (SEP),-0.5%,d,06:00
59,2.0%,GBP,"Tuesday, October 2, 2018",1.9%,u,Medium,GBP Nationwide House Px NSA (YoY) (SEP),2.0%,d,06:00
